treatment,larval_period,mass_g
Drying,86,1.606
Drying,112,2.583
Drying,111,2.305
Drying,50,1.49
Drying,117,2.152
Constant,184,2.358
Drying,72,1.757
Constant,78,1.853
Drying,117,2.218
Constant,68,2.752
Drying,105,2.122
Drying,93,2.449
Constant,72,2.067
Drying,78,2.734
Constant,248,3.665
Constant,177,2.638
Constant,248,2.508
Drying,50,2.064
Constant,50,2.722
Drying,69,2.272
Constant,59,2.641
Drying,90,2.17
Constant,56,2.402
Drying,72,2.791
Constant,248,3.362
Drying,247,3.951
Constant,246,3.923
Constant,248,2.738
Constant,248,2.682
Constant,56,2.158
Constant,248,2.519
Constant,246,3.338
Constant,39,1.884
Constant,164,2.659
Constant,248,3.317
Drying,185,3.192
Constant,246,3.439
Constant,246,3.902
Drying,43,2.135
Drying,90,2.661
Drying,71,2.868
Drying,93,3.111
Constant,247,2.946
Drying,56,2.356
Drying,69,2.587
Constant,248,3.083
Drying,101,2.601
Constant,68,2.381
Constant,246,3.111
Constant,168,3.725
Drying,151,2.767
Drying,101,2.455
Drying,106,2.71
Constant,55,2.401
Constant,246,3.844
Drying,106,3.033
Drying,105,3.027
Constant,246,3.864
Constant,163,3.218
Constant,248,3.48
Constant,190,4.536
Constant,248,3.422
Constant,168,3.557
Constant,248,3.008
Constant,167,2.793
Drying,88,2.85
Constant,246,3.27
Constant,246,3.682
Constant,247,3.365
Constant,247,4.262
Constant,248,4.228
Drying,106,3.651
Constant,246,5.334
Drying,69,2.99
Drying,159,3.327
Constant,248,5.233
Constant,77,2.523
Drying,168,3.18
Constant,163,3.263
Constant,246,4.046
Constant,248,4.699
Constant,172,3.697
Drying,164,3.06
Constant,247,3.677
Constant,248,4.795
Constant,248,4.456
Constant,248,4.781
Constant,47,3.327
Constant,246,4.352
Constant,248,5.303
Drying,126,3.062
Constant,246,3.514
Drying,247,5.988
Constant,69,2.586
Constant,246,4.512
Constant,247,3.12
Drying,246,4.504
Drying,247,5.202
Constant,247,3.587
Drying,247,4.956
Drying,247,5.62
Constant,246,4.083
Constant,246,3.08
Drying,248,6.203
Drying,247,4.219
Constant,247,3.936
Constant,246,3.862
Drying,247,6.058
Constant,246,5.289
Drying,81,3.454
Drying,246,5.713
Drying,247,5.73
Constant,248,4.801
