spring_fawn_count,antelope_population_size,ann_precipitation_in,winter_severity_index
2.489852029,9.712645806,12.03305493,6
2.104015388,8.85470211,11.53161504,5
2.346006608,7.905585066,10.92889454,3
2.30719408,8.586803201,11.73006631,5
1.848761541,7.941399899,10.59656638,3
1.784705203,8.626745067,10.82440523,4
2.015528326,9.085094812,10.91291627,4
2.731101638,8.561875849,12.33327927,6
3.192231373,8.260720874,12.92536232,6
2.115638746,8.581163981,9.997864739,2
2.233510656,6.74591323,12.01330911,4
2.813395682,7.956980235,11.85413428,5
2.644659218,7.724587599,12.02262876,5
1.80295851,8.408865731,10.02941624,2
1.545432985,6.55021965,10.42977745,3
2.922568059,7.826697212,12.85482911,6
2.221475763,7.749630804,11.69561099,5
3.179801435,8.24846604,13.70156998,8
1.685011907,8.322493535,9.899748673,2
2.358939688,8.504486482,10.77205985,3
2.701503973,10.51967977,11.55412175,6
2.62412809,9.156548708,11.96079121,5
2.922520127,9.829496098,12.46577074,6
2.969317048,7.391233246,12.93059365,6
2.497546032,7.988227736,11.92600941,5
2.38411033,8.902439569,11.7944923,6
3.358354193,11.36096776,13.35047946,8
2.532121982,9.200752538,11.97369524,5
2.024315895,8.244555163,11.38647185,4
3.529196021,9.432696616,13.50323855,7
2.566478269,8.827888342,12.19927527,6
2.913605035,10.06771333,13.00379493,8
3.272470229,10.38314341,13.26420526,8
1.915450742,8.745350216,11.44336735,5
3.734259738,9.129434034,13.66495763,7
2.972077903,7.724401571,13.02984759,6
2.768351159,8.465318429,11.79372364,5
3.411840377,8.625621987,13.59281352,7
4.025958623,8.234336555,14.63424561,8
2.286990106,9.277343236,11.41345227,5
2.253213459,8.640702674,11.93960945,6
2.391541699,9.034418427,11.40863374,5
3.236390691,8.550096168,12.16331185,5
1.628433286,7.407235143,10.22997258,3
2.327962632,7.880920037,11.25656093,4
1.647068518,7.243043388,10.66873653,3
2.951120984,9.051213656,13.37751232,7
2.547085724,10.00636096,11.8412045,6
2.480857763,9.064199648,12.49654883,6
2.78416579,9.000781905,12.25383094,6
3.24981418,8.433308545,12.90384272,6
1.861288291,7.221377546,11.12447004,4
3.015313908,8.753759408,13.50909032,8
3.04429016,8.485337909,13.16181001,7
2.774185183,8.958136216,12.82361005,7
2.61776245,8.83994724,11.7725362,5
1.92533496,8.256206484,11.0979018,5
3.211606607,9.252246965,13.27975501,7
2.681109788,8.862690087,12.17985043,6
2.204680593,9.192152483,11.12851476,4
2.42973897,9.738794239,11.49949316,5
2.556935353,8.156480489,12.68593017,6
1.456518964,8.523915707,10.04950731,2
3.326036133,6.969122012,13.37569622,6
1.418419344,7.587435385,9.4270669,1
1.955166718,8.757729943,10.67684029,4
1.631334682,8.262949937,9.311421099,1
1.431709423,6.309068824,10.80710318,3
2.28955198,6.065129901,12.62553995,5
2.196997123,8.036206103,11.8883356,6
2.540273574,7.961826879,11.80385885,5
2.197825729,8.044072198,10.62306772,3
1.861162112,8.946834586,10.60035247,4
3.588741537,7.770961712,14.86319018,9
1.899649963,9.101089362,10.9114608,4
1.858109397,9.453543542,11.53336821,6
1.898129238,8.388779383,11.1563064,4
2.582429801,7.903816965,12.42243684,5
1.651805407,7.005087425,11.04323435,4
1.77358146,7.993321117,11.09958167,4
2.72515971,7.688675313,12.83543474,6
2.595359598,9.06594422,12.8943554,7
2.494228264,9.566944248,12.61156877,7
1.974782355,8.321020764,11.19319974,4
1.922825077,8.158368132,11.06385264,4
4.079025913,6.796745592,15.42540993,9
3.12438199,9.312473184,13.23577398,7
2.34829653,8.386021597,10.69670784,3
1.691387883,8.574533882,10.99107924,4
2.926034138,7.819836524,11.93028936,5
1.822555454,7.923575323,10.45405636,3
2.700903533,10.24521708,12.63634422,7
3.197025027,7.693516421,13.09316167,6
1.588142042,7.159870599,9.808575644,1
2.042766879,8.700135452,12.1005567,7
2.281277307,8.726523061,12.06905,6
3.913493052,8.153272526,15.48445521,10
2.536272707,9.211349428,11.30869901,4
2.751181662,8.597091399,12.47568952,5
1.969521595,9.056273432,10.34157279,3
