PlotID,Density,Trichome,propLeafAreaLost
1,H > N,Naked,0.205299189
1,H > N,Hairy,0.155092167
2,H < N,Naked,0.072087746
2,H < N,Hairy,0.011568628
4,H < N,Naked,0.205031422
4,H < N,Hairy,0.046157895
5,H > N,Naked,0.30352381
5,H > N,Hairy,0.266963379
7,H > N,Naked,0.105009776
7,H > N,Hairy,0.231079743
8,H < N,Naked,0.178083825
8,H < N,Hairy,0.023330611
10,H < N,Naked,0.270107722
10,H < N,Hairy,0.258409091
11,H > N,Naked,0.36497537
11,H > N,Hairy,0.227821683
13,H < N,Naked,0.201038569
13,H < N,Hairy,0.061944445
14,H > N,Naked,0.153591346
14,H > N,Hairy,0.265178221
16,H > N,Naked,0.150517241
16,H > N,Hairy,0.129090458
17,H < N,Naked,0.257226247
17,H < N,Hairy,0.26313014
19,H < N,Naked,0.31344671
19,H < N,Hairy,0.261351215
20,H > N,Naked,0.116929825
20,H > N,Hairy,0.235241959
22,H > N,Naked,0.229799888
22,H > N,Hairy,0.122575252
23,H < N,Naked,0.334880229
23,H < N,Hairy,0.069360465
25,H > N,Naked,0.139736842
25,H > N,Hairy,0.190682625
26,H < N,Naked,0.263268108
26,H < N,Hairy,0.229921053
28,H < N,Naked,0.094343796
28,H < N,Hairy,0.01
29,H > N,Naked,0.189751082
29,H > N,Hairy,0.163304198
31,H > N,Naked,0.281723086
31,H > N,Hairy,0.252324041
32,H < N,Naked,0.276195536
32,H < N,Hairy,0.082214507
34,H < N,Naked,0.133726379
34,H < N,Hairy,0.107148063
35,H > N,Naked,0.138635885
35,H > N,Hairy,0.058182548
37,H < N,Naked,0.288334153
37,H < N,Hairy,0.122522322
38,H > N,Naked,0.229761171
38,H > N,Hairy,0.28139016
40,H > N,Naked,0.412678572
40,H > N,Hairy,0.29792977
41,H < N,Naked,0.39659804
41,H < N,Hairy,0.268172471
43,H < N,Naked,0.343183152
43,H < N,Hairy,0.160108553
44,H > N,Naked,0.154806347
44,H > N,Hairy,0.282666368
46,H > N,Naked,0.139380185
46,H > N,Hairy,0.166939407
47,H < N,Naked,0.343072483
47,H < N,Hairy,0.129904762
